Pixel,WL,Used,ADC(1)
1,451.667,1,73
2,451.945,1,0
3,452.223,1,11
4,452.5,1,106
5,452.778,1,20
6,453.056,1,32
7,453.334,1,327
8,453.611,1,251
9,453.889,1,286
10,454.167,1,237
11,454.445,1,306
12,454.722,1,410
13,455,1,298
14,455.278,1,350
15,455.556,1,274
16,455.834,1,421
17,456.111,1,495
18,456.389,1,320
19,456.667,1,733
20,456.945,1,505
21,457.222,1,589
22,457.5,1,467
23,457.778,1,607
24,458.056,1,759
25,458.333,1,625
26,458.611,1,746
27,458.889,1,730
28,459.167,1,937
29,459.445,1,1028
30,459.722,1,1014
31,460,1,1299
32,460.278,1,1232
33,460.556,1,1231
34,460.833,1,1220
35,461.111,1,1326
36,461.389,1,1486
37,461.667,1,1515
38,461.945,1,1725
39,462.222,1,1708
40,462.5,1,1760
41,462.778,1,1934
42,463.056,1,1707
43,463.333,1,2042
44,463.611,1,2183
45,463.889,1,2234
46,464.167,1,2354
47,464.445,1,2506
48,464.722,1,2643
49,465,1,2602
50,465.278,1,2354
51,465.556,1,2420
52,465.833,1,2530
53,466.111,1,2806
54,466.389,1,2609
55,466.667,1,2917
56,466.945,1,2812
57,467.222,1,3064
58,467.5,1,3218
59,467.778,1,3067
60,468.056,1,3265
61,468.333,1,3331
62,468.611,1,3171
63,468.889,1,3454
64,469.167,1,3448
65,469.445,1,3678
66,469.722,1,3088
67,470,1,3662
68,470.244,1,3600
69,470.488,1,3755
70,470.732,1,3416
71,470.976,1,3709
72,471.22,1,3485
73,471.463,1,3686
74,471.707,1,3768
75,471.951,1,3736
76,472.195,1,3826
77,472.439,1,3834
78,472.683,1,4039
79,472.927,1,4251
80,473.171,1,3893
81,473.415,1,4090
82,473.659,1,4130
83,473.902,1,4164
84,474.146,1,4032
85,474.39,1,4205
86,474.634,1,4214
87,474.878,1,4444
88,475.122,1,4448
89,475.366,1,4332
90,475.61,1,4231
91,475.854,1,4276
92,476.098,1,4663
93,476.342,1,4410
94,476.585,1,4663
95,476.829,1,4512
96,477.073,1,4419
97,477.317,1,4590
98,477.561,1,4655
99,477.805,1,4589
100,478.049,1,4571
101,478.293,1,4959
102,478.537,1,4420
103,478.781,1,4584
104,479.024,1,4376
105,479.268,1,4838
106,479.512,1,4815
107,479.756,1,5021
108,480,1,4815
109,480.25,1,4722
110,480.5,1,4667
111,480.75,1,4786
112,481,1,4740
113,481.25,1,4840
114,481.5,1,4706
115,481.75,1,4842
116,482,1,4858
117,482.25,1,4862
118,482.5,1,4908
119,482.75,1,5206
