Pixel,WL,Used,ADC(1)
1,451.667,1,86.7768595
2,451.945,1,25.61983471
3,452.223,1,0
4,452.5,1,119.0082645
5,452.778,1,25.61983471
6,453.056,1,37.19008264
7,453.334,1,241.322314
8,453.611,1,180.9917355
9,453.889,1,199.1735537
10,454.167,1,187.6033058
11,454.445,1,224.7933884
12,454.722,1,317.3553719
13,455,1,188.4297521
14,455.278,1,263.6363636
15,455.556,1,207.4380165
16,455.834,1,356.1983471
17,456.111,1,381.8181818
18,456.389,1,266.1157025
19,456.667,1,585.9504132
20,456.945,1,528.9256198
21,457.222,1,538.8429752
22,457.5,1,357.8512397
23,457.778,1,518.1818182
24,458.056,1,756.1983471
25,458.333,1,567.768595
26,458.611,1,681.8181818
27,458.889,1,670.2479339
28,459.167,1,882.6446281
29,459.445,1,957.8512397
30,459.722,1,932.231405
31,460,1,1159.504132
32,460.278,1,1071.900826
33,460.556,1,996.6942149
34,460.833,1,1091.735537
35,461.111,1,1106.61157
36,461.389,1,1342.14876
37,461.667,1,1290.082645
38,461.945,1,1450.413223
39,462.222,1,1460.330579
40,462.5,1,1515.702479
41,462.778,1,1690.082645
42,463.056,1,1485.950413
43,463.333,1,1670.247934
44,463.611,1,1728.099174
45,463.889,1,1829.752066
46,464.167,1,2019.834711
47,464.445,1,2047.933884
48,464.722,1,2138.016529
49,465,1,2248.760331
50,465.278,1,1994.214876
51,465.556,1,2160.330579
52,465.833,1,2231.404959
53,466.111,1,2442.975207
54,466.389,1,2267.768595
55,466.667,1,2604.132231
56,466.945,1,2405.785124
57,467.222,1,2534.710744
58,467.5,1,2678.512397
59,467.778,1,2683.471074
60,468.056,1,2691.735537
61,468.333,1,2705.785124
62,468.611,1,2557.85124
63,468.889,1,2802.479339
64,469.167,1,2769.421488
65,469.445,1,3047.107438
66,469.722,1,2607.438017
67,470,1,3084.297521
68,470.244,1,2985.950413
69,470.488,1,3212.396694
70,470.732,1,2971.900826
71,470.976,1,3266.942149
72,471.22,1,3000
73,471.463,1,3263.636364
74,471.707,1,3357.024793
75,471.951,1,3400.826446
76,472.195,1,3443.801653
77,472.439,1,3291.735537
78,472.683,1,3388.429752
79,472.927,1,3553.719008
80,473.171,1,3303.305785
81,473.415,1,3401.652893
82,473.659,1,3500
83,473.902,1,3655.371901
84,474.146,1,3357.85124
85,474.39,1,3534.710744
86,474.634,1,3617.355372
87,474.878,1,3821.487603
88,475.122,1,3812.396694
89,475.366,1,3633.884298
90,475.61,1,3528.099174
91,475.854,1,3561.157025
92,476.098,1,3940.495868
93,476.342,1,3572.727273
94,476.585,1,3640.495868
95,476.829,1,3748.760331
96,477.073,1,3780.165289
97,477.317,1,3802.479339
98,477.561,1,3859.504132
99,477.805,1,4010.743802
100,478.049,1,3864.46281
101,478.293,1,4142.975207
102,478.537,1,3711.570248
103,478.781,1,3810.743802
104,479.024,1,3683.471074
105,479.268,1,4039.669421
106,479.512,1,4009.090909
107,479.756,1,4129.752066
108,480,1,3949.586777
109,480.25,1,3928.92562
110,480.5,1,4138.016529
111,480.75,1,4189.256198
112,481,1,4084.297521
113,481.25,1,4039.669421
114,481.5,1,4199.173554
115,481.75,1,4171.07438
116,482,1,4157.85124
117,482.25,1,4176.033058
118,482.5,1,4167.768595
119,482.75,1,4377.68595
120,483,1,3845.454545
121,483.25,1,4309.090909
122,483.5,1,4078.512397
123,483.75,1,4124.793388
124,484,1,4463.636364
125,484.25,1,4037.190083
